Trial,StartTime,Duration,Frequency,dB_SPL
618,502.3385,0.1,1200,70
619,503.1652,0.1,3023.811,70
620,504.06065,0.1,15239.05,70
621,504.8404,0.1,2400,70
622,505.64795,0.1,9600,70
623,506.3515,0.1,188.988,70
624,507.24585,0.1,755.953,70
625,507.9519,0.1,4800,70
626,508.7399,0.1,19200,70
627,509.64005,0.1,952.441,70
628,510.34065,0.1,600,70
629,511.2592,0.1,238.11,70
630,511.9436,0.1,476.22,70
631,512.83995,0.1,377.976,70
632,513.7459,0.1,1511.905,70
633,514.44725,0.1,150,70
634,515.24345,0.1,300,70
635,516.1401,0.1,7619.525,70
636,516.83975,0.1,12095.242,70
637,517.741,0.1,3809.763,70
638,518.5473,0.1,1904.881,70
639,519.4413,0.1,19200,60
640,520.3419,0.1,952.441,60
641,521.04305,0.1,755.953,60
642,521.75145,0.1,4800,60
643,522.54045,0.1,600,60
644,523.34055,0.1,1511.905,60
645,524.24175,0.1,6047.621,60
646,525.1469,0.1,300,60
647,525.9415,0.1,188.988,60
648,526.6409,0.1,15239.05,60
649,527.34115,0.1,476.22,60
650,528.24555,0.1,377.976,60
651,529.0424,0.1,9600,60
652,529.9415,0.1,2400,60
653,530.64675,0.1,150,60
654,531.5411,0.1,238.11,60
655,532.2459,0.1,1904.881,60
656,533.15415,0.1,3023.811,60
657,534.05495,0.1,1200,60
658,534.8423,0.1,12095.242,60
659,535.5457,0.1,3809.763,60
660,536.24185,0.1,7619.525,60
661,537.1423,0.1,4800,50
662,538.05075,0.1,600,50
663,538.75285,0.1,6047.621,50
664,539.64245,0.1,238.11,50
665,540.54625,0.1,300,50
666,541.35705,0.1,476.22,50
667,542.2431,0.1,1200,50
668,542.9546,0.1,19200,50
669,543.6465,0.1,7619.525,50
670,544.54285,0.1,2400,50
671,545.4427,0.1,15239.05,50
672,546.1464,0.1,3023.811,50
673,546.94325,0.1,755.953,50
674,547.7476,0.1,150,50
675,548.4488,0.1,9600,50
676,549.14315,0.1,1904.881,50
677,549.96585,0.1,1511.905,50
678,550.778,0.1,952.441,50
679,551.5483,0.1,377.976,50
680,552.24555,0.1,12095.242,50
681,552.9466,0.1,188.988,50
682,553.74425,0.1,3809.763,50
683,554.6454,0.1,4800,40
684,555.35385,0.1,6047.621,40
685,556.24355,0.1,12095.242,40
686,557.0538,0.1,7619.525,40
687,557.8452,0.1,9600,40
688,558.5443,0.1,600,40
689,559.2559,0.1,19200,40
690,560.05185,0.1,952.441,40
691,560.7567,0.1,15239.05,40
692,561.5442,0.1,188.988,40
693,562.444,0.1,150,40
694,563.3444,0.1,476.22,40
695,564.2444,0.1,1200,40
696,565.14415,0.1,238.11,40
697,566.0447,0.1,377.976,40
698,566.85515,0.1,755.953,40
699,567.74445,0.1,3809.763,40
700,568.45645,0.1,1904.881,40
701,569.14505,0.1,300,40
702,570.054,0.1,1511.905,40
703,570.9485,0.1,2400,40
704,571.75585,0.1,3023.811,40
705,572.6468,0.1,15239.05,70
706,573.4475,0.1,9600,70
707,574.2499,0.1,377.976,70
708,574.94935,0.1,1200,70
709,575.7455,0.1,476.22,70
710,576.46455,0.1,12095.242,70
711,577.14585,0.1,600,70
712,577.84565,0.1,150,70
713,578.5526,0.1,952.441,70
714,579.3456,0.1,1904.881,70
715,580.04535,0.1,188.988,70
716,580.8597,0.1,1511.905,70
717,581.754,0.1,4800,70
718,582.5471,0.1,6047.621,70
719,583.24645,0.1,300,70
720,584.04635,0.1,3809.763,70
721,584.94545,0.1,19200,70
722,585.78055,0.1,755.953,70
723,586.45685,0.1,238.11,70
724,587.1463,0.1,2400,70
725,587.8553,0.1,7619.525,70
726,588.74785,0.1,3023.811,70
727,589.55315,0.1,9600,60
728,590.4493,0.1,600,60
729,591.35165,0.1,238.11,60
730,592.1466,0.1,2400,60
731,592.94675,0.1,3023.811,60
732,593.8733,0.1,476.22,60
733,594.75525,0.1,6047.621,60
734,595.64735,0.1,19200,60
735,596.4469,0.1,1511.905,60
736,597.1507,0.1,12095.242,60
737,597.85035,0.1,1200,60
738,598.6473,0.1,755.953,60
739,599.36165,0.1,1904.881,60
740,600.2501,0.1,150,60
741,601.04905,0.1,4800,60
742,601.8494,0.1,15239.05,60
743,602.75,0.1,952.441,60
744,603.55125,0.1,300,60
745,604.3493,0.1,7619.525,60
746,605.1489,0.1,3809.763,60
747,606.05,0.1,188.988,60
748,606.8565,0.1,377.976,60
749,607.5486,0.1,300,50
750,608.24715,0.1,755.953,50
751,609.15665,0.1,1511.905,50
